country,country1,country2,country_others,director,director_cn1,director_cn2,director_en1,director_en2,info,movie_name,ranking,score,score_num,year
美国,美国,,,安德鲁·斯坦顿 Andrew Stanton,安德鲁·斯坦顿,,Andrew Stanton,,"导演: 安德鲁·斯坦顿 Andrew Stanton   主演: 本·贝尔特 Ben Burtt / 艾丽...
                            2008 / 美国 / 科幻 动画 冒险",机器人总动员,16,9.3,1345107,2008
美国,美国,,,"拜伦·霍华德 Byron Howard , 瑞奇·摩尔 Rich Moore",拜伦·霍华德,瑞奇·摩尔,Byron Howard,Rich Moore,"导演: 拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore   主演: 金妮弗·...
                            2016 / 美国 / 喜剧 动画 冒险",疯狂动物城,17,9.2,1993425,2016
中国香港,中国香港,,,"刘伟强 , 麦兆辉",刘伟强,麦兆辉,,,"导演: 刘伟强 / 麦兆辉   主演: 刘德华 Andy Lau / 梁朝伟 Tony Leung Chiu W...
                            2002 / 中国香港 / 剧情 犯罪 惊悚",无间道,18,9.3,1399112,2002
美国,美国,,,比利·怀尔德 Billy Wilder,比利·怀尔德,,Billy Wilder,,"导演: 比利·怀尔德 Billy Wilder   主演: 泰隆·鲍华 Tyrone Power / 玛琳·...
                            1957 / 美国 / 剧情 犯罪 悬疑",控方证人,19,9.6,586578,1957
中国香港 中国大陆,中国香港,中国大陆,,刘镇伟 Jeffrey Lau,刘镇伟,,Jeffrey Lau,,"导演: 刘镇伟 Jeffrey Lau   主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...
                            1995 / 中国香港 中国大陆 / 喜剧 爱情 奇幻 古装",大话西游之大圣娶亲,20,9.2,1564821,1995
韩国,韩国,,,黄东赫 Dong-hyuk Hwang,黄东赫,,Dong-hyuk Hwang,,"导演: 黄东赫 Dong-hyuk Hwang   主演: 孔侑 Yoo Gong / 郑有美 Yu-mi Jung /...
                            2011 / 韩国 / 剧情",熔炉,21,9.4,950858,2011
美国,美国,,,弗朗西斯·福特·科波拉 Francis Ford Coppola,弗朗西斯·福特·科波拉,,Francis Ford Coppola,,"导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 马龙·白兰度 M...
                            1972 / 美国 / 剧情 犯罪",教父,22,9.3,991595,1972
法国,法国,,,"奥利维·那卡什 Olivier Nakache , 艾力克·托兰达 Eric Toledano",奥利维·那卡什,艾力克·托兰达,Olivier Nakache,Eric Toledano,"导演: 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano   主...
                            2011 / 法国 / 剧情 喜剧",触不可及,23,9.3,1147835,2011
美国,美国,,,加布里尔·穆奇诺 Gabriele Muccino,加布里尔·穆奇诺,,Gabriele Muccino,,"导演: 加布里尔·穆奇诺 Gabriele Muccino   主演: 威尔·史密斯 Will Smith ...
                            2006 / 美国 / 剧情 传记 家庭",当幸福来敲门,24,9.2,1550857,2006
美国,美国,,,"李·昂克里奇 Lee Unkrich , 阿德里安·莫利纳 Adrian Molina",李·昂克里奇,阿德里安·莫利纳,Lee Unkrich,Adrian Molina,"导演: 李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina   主演: ...
                            2017 / 美国 / 喜剧 动画 奇幻 音乐",寻梦环游记,25,9.1,1731125,2017
英国 意大利 中国大陆 法国,英国,意大利,"中国大陆,法国",贝纳尔多·贝托鲁奇 Bernardo Bertolucci,贝纳尔多·贝托鲁奇,,Bernardo Bertolucci,,"导演: 贝纳尔多·贝托鲁奇 Bernardo Bertolucci   主演: 尊龙 John Lone / 陈...
                            1987 / 英国 意大利 中国大陆 法国 / 剧情 传记 历史",末代皇帝,26,9.3,911120,1987
日本,日本,,,宫崎骏 Hayao Miyazaki,宫崎骏,,Hayao Miyazaki,,"导演: 宫崎骏 Hayao Miyazaki   主演: 日高法子 Noriko Hidaka / 坂本千夏 Ch...
                            1988 / 日本 / 动画 奇幻 冒险",龙猫,27,9.2,1292579,1988
美国,美国,,,罗伯·莱纳 Rob Reiner,罗伯·莱纳,,Rob Reiner,,"导演: 罗伯·莱纳 Rob Reiner   主演: 玛德琳·卡罗尔 Madeline Carroll / 卡...
                            2010 / 美国 / 剧情 喜剧 爱情",怦然心动,28,9.1,1872547,2010
中国大陆 中国香港,中国大陆,中国香港,,张艺谋 Yimou Zhang,张艺谋,,Yimou Zhang,,"导演: 张艺谋 Yimou Zhang   主演: 葛优 You Ge / 巩俐 Li Gong / 姜武 Wu Jiang
                            1994 / 中国大陆 中国香港 / 剧情 历史 家庭",活着,29,9.3,868837,1994
美国 英国,美国,英国,,Chris Columbus,,,Chris Columbus,,"导演: Chris Columbus   主演: Daniel Radcliffe / Emma Watson / Rupert Grint
                            2001 / 美国 英国 / 奇幻 冒险",哈利·波特与魔法石,30,9.2,1227724,2001
美国 英国,美国,英国,,克里斯托弗·诺兰 Christopher Nolan,克里斯托弗·诺兰,,Christopher Nolan,,"导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 克里斯蒂安·贝尔 Christ...
                            2008 / 美国 英国 / 剧情 动作 科幻 犯罪 惊悚",蝙蝠侠：黑暗骑士,31,9.2,1086581,2008
美国 新西兰,美国,新西兰,,彼得·杰克逊 Peter Jackson,彼得·杰克逊,,Peter Jackson,,"导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...
                            2003 / 美国 新西兰 / 剧情 动作 奇幻 冒险",指环王3：王者无敌,32,9.3,822522,2003
中国大陆,中国大陆,,,文牧野 Muye Wen,文牧野,,Muye Wen,,"导演: 文牧野 Muye Wen   主演: 徐峥 Zheng Xu / 王传君 Chuanjun Wang / 周...
                            2018 / 中国大陆 / 剧情 喜剧",我不是药神,33,9.0,2149445,2018
美国,美国,,,"维克多·弗莱明 Victor Fleming , 乔治·库克 George Cukor",维克多·弗莱明,乔治·库克,Victor Fleming,George Cukor,"导演: 维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor   主演: 费...
                            1939 / 美国 / 剧情 历史 爱情 战争",乱世佳人,34,9.3,707841,1939
美国,美国,,,"彼特·道格特 Pete Docter , 鲍勃·彼德森 Bob Peterson",彼特·道格特,鲍勃·彼德森,Pete Docter,Bob Peterson,"导演: 彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson   主演: 爱德...
                            2009 / 美国 / 剧情 喜剧 动画 冒险",飞屋环游记,35,9.1,1357216,2009
韩国,韩国,,,李濬益 Jun-ik Lee,李濬益,,Jun-ik Lee,,"导演: 李濬益 Jun-ik Lee   主演: 薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ...
                            2013 / 韩国 / 剧情",素媛,36,9.3,703397,2013
美国,美国,,,Sidney Lumet,,,Sidney Lumet,,"导演: Sidney Lumet   主演: 亨利·方达 Henry Fonda / 马丁·鲍尔萨姆 Marti...
                            1957 / 美国 / 剧情",十二怒汉,37,9.4,505904,1957
日本,日本,,,宫崎骏 Hayao Miyazaki,宫崎骏,,Hayao Miyazaki,,"导演: 宫崎骏 Hayao Miyazaki   主演: 倍赏千惠子 Chieko Baishô / 木村拓...
                            2004 / 日本 / 动画 奇幻 冒险",哈尔的移动城堡,38,9.1,1052596,2004
黎巴嫩 美国 法国 塞浦路斯 卡塔尔 英国,黎巴嫩,美国,"法国,塞浦路斯,卡塔尔,英国",娜丁·拉巴基 Nadine Labaki,娜丁·拉巴基,,Nadine Labaki,,"导演: 娜丁·拉巴基 Nadine Labaki   主演: 扎因·拉费阿 Zain al-Rafeea / ...
                            2018 / 黎巴嫩 美国 法国 塞浦路斯 卡塔尔 英国 / 剧情",何以为家,39,9.1,1067646,2018
中国大陆 中国香港,中国大陆,中国香港,,姜文 Wen Jiang,姜文,,Wen Jiang,,"导演: 姜文 Wen Jiang   主演: 姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F...
                            2010 / 中国大陆 中国香港 / 剧情 喜剧 动作 西部",让子弹飞,40,9.0,1738168,2010
印度,印度,,,涅提·蒂瓦里 Nitesh Tiwari,涅提·蒂瓦里,,Nitesh Tiwari,,"导演: 涅提·蒂瓦里 Nitesh Tiwari   主演: 阿米尔·汗 Aamir Khan / 法缇玛...
                            2016 / 印度 / 剧情 传记 运动 家庭",摔跤吧！爸爸,41,9.0,1600170,2016
美国 加拿大,美国,加拿大,,史蒂文·斯皮尔伯格 Steven Spielberg,史蒂文·斯皮尔伯格,,Steven Spielberg,,"导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 莱昂纳多·迪卡普里奥 L...
                            2002 / 美国 加拿大 / 传记 犯罪 剧情",猫鼠游戏,42,9.1,1058424,2002
日本,日本,,,宫崎骏 Hayao Miyazaki,宫崎骏,,Hayao Miyazaki,,"导演: 宫崎骏 Hayao Miyazaki   主演: 田中真弓 Mayumi Tanaka / 横泽启子 Ke...
                            1986 / 日本 / 动画 奇幻 冒险",天空之城,43,9.2,899338,1986
中国大陆,中国大陆,,,姜文 Wen Jiang,姜文,,Wen Jiang,,"导演: 姜文 Wen Jiang   主演: 姜文 Wen Jiang / 香川照之 Teruyuki Kagawa /...
                            2000 / 中国大陆 / 剧情 喜剧",鬼子来了,44,9.3,641783,2000
德国 瑞士,德国,瑞士,,阿兰·葛斯彭纳 Alain Gsponer,阿兰·葛斯彭纳,,Alain Gsponer,,"导演: 阿兰·葛斯彭纳 Alain Gsponer   主演: 阿努克·斯特芬 Anuk Steffen /...
                            2015 / 德国 瑞士 / 剧情 冒险 家庭",海蒂和爷爷,45,9.3,643429,2015
美国 中国台湾 英国 加拿大,美国,中国台湾,"英国,加拿大",李安 Ang Lee,李安,,Ang Lee,,"导演: 李安 Ang Lee   主演: 苏拉·沙玛 Suraj Sharma / 伊尔凡·可汗 Irrfan...
                            2012 / 美国 中国台湾 英国 加拿大 / 剧情 奇幻 冒险",少年派的奇幻漂流,46,9.1,1375058,2012
英国 法国 波兰 德国,英国,法国,"波兰,德国",罗曼·波兰斯基 Roman Polanski,罗曼·波兰斯基,,Roman Polanski,,"导演: 罗曼·波兰斯基 Roman Polanski   主演: 艾德里安·布洛迪 Adrien Brod...
                            2002 / 英国 法国 波兰 德国 / 剧情 传记 战争 音乐",钢琴家,47,9.3,660228,2002
中国香港 中国大陆,中国香港,中国大陆,,刘镇伟 Jeffrey Lau,刘镇伟,,Jeffrey Lau,,"导演: 刘镇伟 Jeffrey Lau   主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...
                            1995 / 中国香港 中国大陆 / 喜剧 爱情 奇幻 古装",大话西游之月光宝盒,48,9.0,1245855,1995
美国 新西兰,美国,新西兰,,彼得·杰克逊 Peter Jackson,彼得·杰克逊,,Peter Jackson,,"导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...
                            2002 / 美国 新西兰 / 剧情 动作 奇幻 冒险",指环王2：双塔奇兵,49,9.2,771861,2002
美国,美国,,,马丁·布莱斯 Martin Brest,马丁·布莱斯,,Martin Brest,,"导演: 马丁·布莱斯 Martin Brest   主演: 阿尔·帕西诺 Al Pacino / 克里斯...
                            1992 / 美国 / 剧情",闻香识女人,50,9.1,910938,1992
美国,美国,,,彼得·威尔 Peter Weir,彼得·威尔,,Peter Weir,,"导演: 彼得·威尔 Peter Weir   主演: 罗宾·威廉姆斯 Robin Williams / 罗伯...
                            1989 / 美国 / 剧情",死亡诗社,51,9.2,750422,1989
美国 中国大陆,美国,中国大陆,,彼得·法雷里 Peter Farrelly,彼得·法雷里,,Peter Farrelly,,"导演: 彼得·法雷里 Peter Farrelly   主演: 维果·莫腾森 Viggo Mortensen /...
                            2018 / 美国 中国大陆 / 剧情 喜剧 传记 音乐",绿皮书,52,8.9,1690982,2018
美国,美国,,,威廉·惠勒 William Wyler,威廉·惠勒,,William Wyler,,"导演: 威廉·惠勒 William Wyler   主演: 奥黛丽·赫本 Audrey Hepburn / 格...
                            1953 / 美国 / 喜剧 剧情 爱情",罗马假日,53,9.1,968308,1953
中国大陆,中国大陆,,,万籁鸣 Laiming Wan,万籁鸣,,Laiming Wan,,"导演: 万籁鸣 Laiming Wan   主演: 邱岳峰 Yuefeng Qiu / 富润生 Runsheng Fu...
                            1961(中国大陆) / 1964(中国大陆) / 1978(中国大陆) / 中国大陆 / 剧情 动画 奇幻 古装",大闹天宫,54,9.4,450667,1961
意大利 法国,意大利,法国,,朱塞佩·托纳多雷 Giuseppe Tornatore,朱塞佩·托纳多雷,,Giuseppe Tornatore,,"导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 菲利普·努瓦雷 Philipp...
                            1988 / 意大利 法国 / 剧情 爱情",天堂电影院,55,9.2,690560,1988
新西兰 美国,新西兰,美国,,彼得·杰克逊 Peter Jackson,彼得·杰克逊,,Peter Jackson,,"导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...
                            2001 / 新西兰 美国 / 剧情 动作 奇幻 冒险",指环王1：护戒使者,56,9.1,867131,2001
美国,美国,,,"安迪·沃卓斯基 Andy Wachowski , 拉娜·沃卓斯基 Lana Wachowski",安迪·沃卓斯基,拉娜·沃卓斯基,Andy Wachowski,Lana Wachowski,"导演: 安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski   主...
                            1999 / 美国 / 动作 科幻",黑客帝国,57,9.1,856193,1999
美国,美国,,,弗朗西斯·福特·科波拉 Francis Ford Coppola,弗朗西斯·福特·科波拉,,Francis Ford Coppola,,"导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 阿尔·帕西诺 A...
                            1974 / 美国 / 剧情 犯罪",教父2,58,9.3,567307,1974
美国,美国,,,"Roger Allers , 罗伯·明可夫 Rob Minkoff",,罗伯·明可夫,Roger Allers,Rob Minkoff,"导演: Roger Allers / 罗伯·明可夫 Rob Minkoff   主演: 乔纳森·泰勒·托马...
                            1994 / 美国 / 动画 冒险 歌舞",狮子王,59,9.1,864539,1994
韩国,韩国,,,杨宇硕 Woo-seok Yang,杨宇硕,,Woo-seok Yang,,"导演: 杨宇硕 Woo-seok Yang   主演: 宋康昊 Kang-ho Song / 金英爱 Yeong-ae...
                            2013 / 韩国 / 剧情",辩护人,60,9.2,600399,2013
中国台湾 美国,中国台湾,美国,,李安 Ang Lee,李安,,Ang Lee,,"导演: 李安 Ang Lee   主演: 郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴...
                            1994 / 中国台湾 美国 / 剧情 家庭",饮食男女,61,9.2,637165,1994
美国,美国,,,大卫·芬奇 David Fincher,大卫·芬奇,,David Fincher,,"导演: 大卫·芬奇 David Fincher   主演: 爱德华·诺顿 Edward Norton / 布拉...
                            1999 / 美国 / 剧情 动作 悬疑 惊悚",搏击俱乐部,62,9.0,866149,1999
美国,美国,,,大卫·芬奇 David Fincher,大卫·芬奇,,David Fincher,,"导演: 大卫·芬奇 David Fincher   主演: 凯特·布兰切特 Cate Blanchett / ...
                            2008 / 美国 / 剧情 爱情 奇幻",本杰明·巴顿奇事,63,9.0,1005989,2008
美国,美国,,,朗·霍华德 Ron Howard,朗·霍华德,,Ron Howard,,"导演: 朗·霍华德 Ron Howard   主演: 罗素·克劳 Russell Crowe / 艾德·哈...
                            2001 / 美国 / 传记 剧情",美丽心灵,64,9.1,785388,2001
英国 美国,英国,美国,,马克·赫尔曼 Mark Herman,马克·赫尔曼,,Mark Herman,,"导演: 马克·赫尔曼 Mark Herman   主演: 阿萨·巴特菲尔德 Asa Butterfield ...
                            2008 / 英国 美国 / 剧情 战争",穿条纹睡衣的男孩,65,9.2,580526,2008
德国,德国,,,弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck,弗洛里安·亨克尔·冯·多纳斯马尔克,,Florian Henckel von Donnersmarck,,"导演: 弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck  &n...
                            2006 / 德国 / 剧情 悬疑",窃听风暴,66,9.2,576892,2006
日本,日本,,,岩井俊二 Shunji Iwai,岩井俊二,,Shunji Iwai,,"导演: 岩井俊二 Shunji Iwai   主演: 中山美穗 Miho Nakayama / 丰川悦司 Ets...
                            1995 / 日本 / 剧情 爱情",情书,67,8.9,1144699,1995
英国,英国,,,盖·里奇 Guy Ritchie,盖·里奇,,Guy Ritchie,,"导演: 盖·里奇 Guy Ritchie   主演: 杰森·弗莱明 Jason Flemyng / 德克斯特...
                            1998 / 英国 / 剧情 喜剧 犯罪",两杆大烟枪,68,9.1,607406,1998
意大利 美国,意大利,美国,,朱塞佩·托纳多雷 Giuseppe Tornatore,朱塞佩·托纳多雷,,Giuseppe Tornatore,,"导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 莫妮卡·贝鲁奇 Monica ...
                            2000 / 意大利 美国 / 剧情 战争 情色",西西里的美丽传说,69,8.9,996846,2000
西班牙,西班牙,,,奥里奥尔·保罗 Oriol Paulo,奥里奥尔·保罗,,Oriol Paulo,,"导演: 奥里奥尔·保罗 Oriol Paulo   主演: 马里奥·卡萨斯 Mario Casas / 阿...
                            2016 / 西班牙 / 剧情 犯罪 悬疑 惊悚",看不见的客人,70,8.8,1302142,2016
美国,美国,,,罗伯特·怀斯 Robert Wise,罗伯特·怀斯,,Robert Wise,,"导演: 罗伯特·怀斯 Robert Wise   主演: 朱莉·安德鲁斯 Julie Andrews / 克...
                            1965 / 美国 / 剧情 传记 爱情 歌舞",音乐之声,71,9.1,616888,1965
美国,美国,,,詹姆斯·卡梅隆 James Cameron,詹姆斯·卡梅隆,,James Cameron,,"导演: 詹姆斯·卡梅隆 James Cameron   主演: 萨姆·沃辛顿 Sam Worthington ...
                            2009 / 美国 / 动作 科幻 冒险",阿凡达,72,8.8,1450599,2009
美国 英国,美国,英国,,大卫·叶茨 David Yates,大卫·叶茨,,David Yates,,"导演: 大卫·叶茨 David Yates   主演: 丹尼尔·雷德克里夫 Daniel Radcliffe...
                            2011 / 美国 英国 / 奇幻 冒险",哈利·波特与死亡圣器(下),73,9.0,854454,2011
美国,美国,,,史蒂文·斯皮尔伯格 Steven Spielberg,史蒂文·斯皮尔伯格,,Steven Spielberg,,"导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 汤姆·汉克斯 Tom Hanks...
                            1998 / 美国 / 剧情 战争",拯救大兵瑞恩,74,9.1,661180,1998
美国,美国,,,米洛斯·福尔曼 Miloš Forman,米洛斯·福尔曼,,Miloš Forman,,"导演: 米洛斯·福尔曼 Miloš Forman   主演: 杰克·尼科尔森 Jack Nichols...
                            1975 / 美国 / 剧情",飞越疯人院,75,9.1,557510,1975
伊朗,伊朗,,,马基德·马基迪 Majid Majidi,马基德·马基迪,,Majid Majidi,,"导演: 马基德·马基迪 Majid Majidi   主演: 默罕默德·阿米尔·纳吉 Mohamma...
                            1997 / 伊朗 / 剧情 儿童 家庭",小鞋子,76,9.2,420450,1997
美国,美国,,,乔纳森·戴米 Jonathan Demme,乔纳森·戴米,,Jonathan Demme,,"导演: 乔纳森·戴米 Jonathan Demme   主演: 朱迪·福斯特 Jodie Foster / 安...
                            1991 / 美国 / 剧情 犯罪 惊悚",沉默的羔羊,77,8.9,912153,1991
美国 德国 英国,美国,德国,英国,韦斯·安德森 Wes Anderson,韦斯·安德森,,Wes Anderson,,"导演: 韦斯·安德森 Wes Anderson   主演: 拉尔夫·费因斯 Ralph Fiennes / ...
                            2014 / 美国 德国 英国 / 剧情 喜剧 冒险",布达佩斯大饭店,78,8.9,965324,2014
中国大陆 中国香港,中国大陆,中国香港,,周星驰 Stephen Chow,周星驰,,Stephen Chow,,"导演: 周星驰 Stephen Chow   主演: 周星驰 Stephen Chow / 元秋 Qiu Yuen / ...
                            2004 / 中国大陆 中国香港 / 动作 喜剧 犯罪 奇幻",功夫,79,8.8,1168216,2004
美国,美国,,,Martin Scorsese,,,Martin Scorsese,,"导演: Martin Scorsese   主演: 莱昂纳多·迪卡普里奥 Leonardo DiCaprio / ...
                            2010 / 美国 / 剧情 悬疑 惊悚",禁闭岛,80,8.9,1002427,2010
美国 加拿大,美国,加拿大,,"埃里克·布雷斯 Eric Bress , J·麦基·格鲁伯 J. Mackye Gruber",埃里克·布雷斯,·麦基·格鲁伯,Eric Bress,J J. Mackye Gruber,"导演: 埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber   主...
                            2004 / 美国 加拿大 / 剧情 悬疑 科幻 惊悚",蝴蝶效应,81,8.9,960246,2004
英国 美国,英国,美国,,克里斯托弗·诺兰 Christopher Nolan,克里斯托弗·诺兰,,Christopher Nolan,,"导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 休·杰克曼 Hugh Jackman...
                            2006 / 英国 美国 / 剧情 悬疑 惊悚",致命魔术,82,8.9,880350,2006
英国 美国,英国,美国,,Alfonso Cuarón,,,Alfonso Cuarón,,"导演: Alfonso Cuarón   主演: 丹尼尔·雷德克里夫 Daniel Radcliffe / Emma...
                            2004 / 英国 美国 / 奇幻 冒险",哈利·波特与阿兹卡班的囚徒,83,8.9,755702,2004
美国,美国,,,格斯·范·桑特 Gus Van Sant,格斯·范·桑特,,Gus Van Sant,,"导演: 格斯·范·桑特 Gus Van Sant   主演: 马特·达蒙 Matt Damon / 罗宾·...
                            1997 / 美国 / 剧情",心灵捕手,84,8.9,733003,1997
美国,美国,,,托尼·凯耶 Tony Kaye,托尼·凯耶,,Tony Kaye,,"导演: 托尼·凯耶 Tony Kaye   主演: 艾德里安·布洛迪 Adrien Brody / 马西...
                            2011 / 美国 / 剧情",超脱,85,9.0,623390,2011
美国,美国,,,昆汀·塔伦蒂诺 Quentin Tarantino,昆汀·塔伦蒂诺,,Quentin Tarantino,,"导演: 昆汀·塔伦蒂诺 Quentin Tarantino   主演: 约翰·特拉沃尔塔 John Tra...
                            1994 / 美国 / 剧情 喜剧 犯罪",低俗小说,86,8.9,854956,1994
美国,美国,,,路易·西霍尤斯 Louie Psihoyos,路易·西霍尤斯,,Louie Psihoyos,,"导演: 路易·西霍尤斯 Louie Psihoyos   主演: 路易·西霍尤斯 Louie Psihoyo...
                            2009 / 美国 / 纪录片",海豚湾,87,9.3,362155,2009
美国,美国,,,查理·卓别林 Charles Chaplin,查理·卓别林,,Charles Chaplin,,"导演: 查理·卓别林 Charles Chaplin   主演: 查理·卓别林 Charles Chaplin ...
                            1936 / 美国 / 剧情 喜剧 爱情",摩登时代,88,9.3,309561,1936
中国香港 日本 韩国,中国香港,日本,韩国,王家卫 Kar Wai Wong,王家卫,,Kar Wai Wong,,"导演: 王家卫 Kar Wai Wong   主演: 张国荣 Leslie Cheung / 梁朝伟 Tony Leu...
                            1997 / 中国香港 日本 韩国 / 剧情 爱情 同性",春光乍泄,89,9.0,646296,1997
